elo,match32,top3_32,cploss32,match256,top3_256,cploss256,match4096,top3_4096,cploss4096,match65536,top3_65536,cploss65536
2034,0,0,12,0,1,24,0,1,30,0,0,24
2245,0,0,26,0,1,113,0,0,112,0,0,152
1106,0,0,428,0,0,428,0,0,423,0,0,355
2122,0,1,0,1,1,37,0,1,0,1,1,0
2259,0,1,0,1,1,16,0,1,64,0,1,17
1225,0,1,0,1,1,10,1,1,45,1,1,0
1551,1,1,0,0,1,76,0,1,0,0,0,287
900,0,0,262,0,0,186,0,0,212,0,0,195
2689,1,1,0,1,1,0,1,1,38,1,1,4
1721,1,1,0,1,1,0,1,1,0,1,1,0
1609,0,1,0,1,1,0,0,1,669,0,0,473
1542,0,0,61,0,0,254,0,0,343,0,0,389
1557,0,1,0,1,1,0,1,1,40,1,1,3
1737,0,0,0,0,1,23,0,1,26,0,0,25
1706,0,1,13,0,1,0,0,1,110,0,1,65
2050,1,1,0,1,1,38,1,1,23,0,0,26
2232,0,1,0,1,1,0,1,1,0,1,1,24
2085,0,1,6,0,1,7,0,1,0,1,1,10
2096,1,1,143,0,0,0,1,1,22,1,1,0
1542,0,0,397,0,0,656,0,0,265,0,0,214
1086,0,0,113,0,0,0,1,1,0,0,1,13
1646,0,0,162,0,0,193,0,0,87,0,0,103
1871,0,0,48,0,1,129,0,0,35,0,0,6
2101,0,0,71,0,0,158,0,1,20,0,1,50
1598,0,1,0,1,1,26,1,1,20,1,1,53
1313,0,0,0,1,1,44,0,0,97,0,0,38
1886,0,0,36,0,1,42,1,1,53,0,1,22
1059,0,1,14,0,1,57,1,1,41,0,1,0
1766,0,0,139,0,0,94,0,0,71,0,1,92
1867,0,1,0,1,1,67,1,1,137,0,0,28
2468,1,1,0,1,1,0,1,1,14,0,1,0
1821,1,1,0,1,1,0,1,1,24,1,1,42
2721,0,0,0,1,1,28,0,0,146,0,1,68
1009,0,0,89,0,0,62,0,0,63,0,1,47
1292,0,1,0,0,1,77,0,0,132,0,0,95
1947,1,1,0,1,1,0,1,1,0,0,1,1
2600,0,1,56,0,0,56,0,0,1,0,1,51
1397,0,1,2,0,1,0,0,1,0,0,1,3
1923,0,0,197,0,1,226,0,0,86,0,0,161
2362,0,0,43,0,1,61,0,0,64,0,0,51
1731,0,0,26,0,1,51,0,1,203,0,1,201
824,1,1,0,1,1,0,1,1,0,1,1,0
1215,0,1,39,0,1,32,0,1,29,0,1,0
1338,0,0,110,0,0,21,0,0,17,0,0,19
2392,0,0,20,0,1,61,0,0,137,0,0,107
2568,0,0,16,0,0,61,0,0,5,0,0,0
1772,1,1,0,1,1,39,0,1,9,0,1,6
1448,0,0,258,0,0,338,0,0,329,0,0,303
1002,1,1,0,1,1,8,0,0,45,0,0,84
1665,0,0,2506,0,0,2506,0,0,2504,0,0,2541
1599,0,1,0,1,1,7,1,1,0,1,1,21
2377,1,1,0,1,1,111,0,1,51,1,1,0
1774,0,0,0,0,1,6,0,0,2,1,1,0
2242,0,0,0,1,1,24,0,0,33,0,0,29
1748,1,1,0,1,1,50,1,1,0,1,1,0
