elo,match32,top3_32,cploss32,match256,top3_256,cploss256,match4096,top3_4096,cploss4096,match65536,top3_65536,cploss65536
2241,1,1,23,0,1,0,0,1,54,0,1,37
2007,0,0,344,0,0,531,0,0,372,0,0,388
1484,0,0,83,0,0,39,1,1,4,1,1,18
2000,0,0,131,0,0,0,0,0,0,0,0,0
1776,0,1,16,0,1,16,1,1,0,1,1,12
1835,1,1,0,1,1,16,1,1,62,0,1,0
1479,1,1,6,1,1,0,0,1,9,0,0,79
1723,0,0,11,0,1,29,1,1,150,0,1,57
1464,1,1,2312,1,1,2312,0,0,2017,0,0,1895
2087,1,1,19,1,1,38,0,0,11,0,1,14
1996,0,1,0,1,1,4,1,1,16,1,1,2
1488,1,1,53,0,1,95,0,0,38,0,0,12
1331,0,0,191,0,0,96,0,0,74,0,0,10
1178,1,1,0,1,1,6,1,1,20,1,1,1
1081,0,1,80,0,0,214,0,0,123,0,0,0
1437,1,1,0,1,1,6,1,1,0,1,1,7
1272,0,0,565,0,0,557,0,0,578,0,0,602
1006,0,0,28,0,0,43,0,0,16,0,0,2690
2332,1,1,0,1,1,5,0,0,0,1,1,17
1726,0,0,8,0,0,3,0,1,0,0,0,0
2381,1,1,0,1,1,0,1,1,0,1,1,0
1118,1,1,25,1,1,0,0,1,495,0,1,137
1428,1,1,59,1,1,54,0,1,0,0,1,0
1644,0,1,0,1,1,61,0,0,36,0,1,25
1142,0,1,18,1,1,0,1,1,3,1,1,0
1840,0,0,72,0,0,175,0,0,176,0,0,134
1441,1,1,32,1,1,0,1,1,0,1,1,0
1270,0,1,91,0,1,77,0,0,60,0,0,70
2261,1,1,79,0,0,33,0,1,37,0,1,45
1122,0,1,28,0,1,24,0,1,42,0,1,50
1807,1,1,0,1,1,0,1,1,0,1,1,0
1753,1,1,0,1,1,57,0,0,23,0,1,0
1942,0,1,27,0,1,64,0,0,21,0,0,15
1005,0,0,3619,0,0,3412,0,1,2025,1,1,0
1431,1,1,0,1,1,85,0,0,8,1,1,6
1772,0,1,9,0,1,21,0,1,14,0,1,1
2433,0,0,4,0,0,86,0,0,84,0,0,63
1242,1,1,25,0,1,57,0,0,67,0,0,34
1115,0,0,6,0,0,138,0,0,84,0,0,68
1163,0,0,0,1,1,56,1,1,16,1,1,25
1638,0,0,40,0,1,68,0,0,134,0,0,109
1578,0,0,222,0,0,224,0,0,235,0,0,238
2171,0,0,35,0,1,20,1,1,0,0,1,0
1195,0,1,242,0,0,164,0,1,75,0,1,0
1965,1,1,61,0,1,0,1,1,5,1,1,0
2058,1,1,0,1,1,0,1,1,20,1,1,15
1493,0,0,85,0,0,77,1,1,9,1,1,11
2033,0,1,0,1,1,5,1,1,19,0,0,67
1820,0,1,37,0,0,73,0,0,51,0,0,98
1910,1,1,0,1,1,154,1,1,89,1,1,24
2202,1,1,0,1,1,20,1,1,0,0,1,2019
1998,0,0,85,0,0,83,0,0,259,0,0,306
1333,1,1,0,1,1,0,0,1,49,0,1,18
1009,0,0,80,0,0,171,0,0,121,0,0,121
2431,1,1,0,1,1,0,1,1,0,1,1,0
1854,0,0,10,0,1,12,0,0,22,0,0,21
1699,0,0,74,0,1,105,1,1,31,0,1,40
1298,0,1,79,0,1,14,1,1,20,1,1,84
1760,0,0,41,0,0,0,0,0,18,1,1,66
1644,0,0,23,0,1,31,0,0,19,0,0,0
1921,0,0,40,0,1,63,1,1,17,1,1,21
1199,0,1,269,0,0,313,0,0,319,0,0,132
1714,0,1,40,0,1,39,0,1,0,1,1,3
718,0,0,154,0,0,22,0,0,75,0,0,65
1973,0,0,0,1,1,11,0,1,20,0,1,29
1140,0,0,86,0,0,67,0,0,36,0,0,128
1174,0,1,95,0,1,90,0,1,147,0,1,131
1090,0,1,42,0,1,32,0,1,118,0,1,105
1510,1,1,0,1,1,0,1,1,5,1,1,0
1881,0,0,0,0,1,5,0,1,37,0,1,35
2266,0,1,12,0,1,37,0,0,70,0,0,51
2262,0,0,81,0,1,174,0,0,134,0,0,180
1646,1,1,0,1,1,116,1,1,4,1,1,0
1944,1,1,0,1,1,0,0,1,158,0,1,72
2139,0,0,81,0,0,180,0,0,100,0,0,107
1479,0,1,69,0,1,51,1,1,0,1,1,8
2020,0,1,57,0,0,134,0,0,120,0,0,87
1004,0,0,82,0,0,132,0,0,248,0,0,260
1809,0,1,17,0,1,18,0,1,24,0,1,40
2327,0,1,68,0,1,188,0,1,75,0,1,97
2132,0,0,0,1,1,11,1,1,0,0,1,3
2252,0,0,0,0,1,93,0,0,0,0,1,3
1663,0,1,47,0,1,118,0,0,150,0,0,208
1887,1,1,0,0,1,45,0,1,62,0,0,25
1271,0,0,20,0,1,149,0,0,66,1,1,0
877,1,1,0,1,1,86,0,0,29,1,1,0
2099,0,1,0,1,1,64,0,1,1,1,1,8
2060,1,1,33,1,1,94,0,0,66,0,1,146
1685,0,0,0,1,1,36,0,1,51,0,0,216
1330,0,1,17,0,1,45,1,1,1,1,1,0
2266,0,0,26,0,1,83,0,0,32,0,0,57
1089,0,1,0,1,1,30,0,0,106,0,0,44
915,0,0,113,0,0,118,0,0,62,0,0,95
1015,0,0,39,0,1,116,0,0,59,0,0,101
1391,0,0,0,0,1,84,0,0,35,0,0,61
1374,0,0,3430,0,0,2847,0,1,0,0,1,0
1864,0,1,27,0,1,37,1,1,15,0,1,30
2706,1,1,0,1,1,3,1,1,69,1,1,0
1861,0,0,3,0,1,116,0,0,26,0,0,103
1067,0,0,101,0,0,95,0,0,28,0,1,33
1815,1,1,0,1,1,103,1,1,54,0,1,2044
1326,0,1,21,0,1,21,1,1,0,1,1,47
1173,0,1,46,0,1,100,0,0,208,0,0,131
976,0,0,157,0,1,301,0,0,476,0,0,524
1283,0,1,63,0,0,128,0,1,104,0,0,41
2046,1,1,0,1,1,0,1,1,0,1,1,22
1413,1,1,0,1,1,0,1,1,0,1,1,0
1624,0,1,0,1,1,2,1,1,22,1,1,14
1652,1,1,0,1,1,0,1,1,0,1,1,0
1408,0,1,0,1,1,68,0,1,26,1,1,26
1838,0,1,3,0,1,25,0,1,11,0,0,72
798,1,1,28,1,1,9,1,1,0,1,1,0
1659,1,1,14,0,1,49,0,0,31,0,0,46
1422,0,1,33,0,0,0,0,1,77,0,1,0
1986,1,1,0,1,1,0,1,1,0,1,1,0
2428,0,1,5,0,1,14,1,1,49,1,1,0
2096,0,1,46,0,0,24,0,0,80,0,0,85
2397,0,1,1,0,1,4,1,1,20,0,0,50
1400,0,0,336,0,0,326,0,0,385,0,0,420
1152,1,1,0,1,1,0,1,1,71,1,1,70
2100,0,0,363,0,0,380,0,0,531,0,0,516
2204,0,0,14,0,0,35,0,1,17,0,1,11
2507,0,0,139,0,0,172,0,0,185,0,0,203
884,1,1,0,1,1,7,1,1,0,1,1,0
1943,0,0,211,0,0,272,0,0,146,0,0,239
1448,1,1,28,0,1,41,0,1,55,0,0,26
1509,0,1,10,0,1,73,1,1,2,0,1,0
1871,0,0,0,1,1,6,0,0,49,0,0,63
1654,0,0,240,0,0,187,0,0,211,0,0,323
2376,0,0,286,0,0,140,0,0,174,0,0,213
1815,0,1,235,0,0,47,1,1,18,1,1,8
956,0,0,57,0,0,0,0,0,0,0,0,0
2393,1,1,0,1,1,0,0,1,0,1,1,0
1531,0,1,32,0,1,6,0,0,176,0,1,333
2096,0,0,58,0,0,86,0,0,105,0,1,30
1511,0,1,19,0,1,69,0,0,43,0,1,17
1431,1,1,94,1,1,0,1,1,19,0,1,0
1373,0,1,8,0,1,9,0,0,0,0,0,5
2007,1,1,0,1,1,51,1,1,0,1,1,0
1175,1,1,0,1,1,22,0,1,7,1,1,31
2357,1,1,32,1,1,50,1,1,101,0,0,1
1809,0,0,294,0,0,253,0,0,342,0,0,377
2032,0,1,0,1,1,0,1,1,128,1,1,38
1924,0,1,7,0,1,17,1,1,23,0,1,7
1990,0,0,68,0,0,150,0,0,251,0,0,362
1935,0,0,144,0,0,113,0,0,111,0,1,123
1796,0,0,0,0,1,346,0,0,203,0,0,210
2144,0,0,23,0,0,28,0,1,53,1,1,0
1887,0,0,499,0,0,499,0,0,445,0,0,463
1366,0,1,112,0,1,155,0,0,25,0,0,47
1714,0,1,39,0,1,23,0,1,25,0,1,28
1670,0,0,789,0,0,789,0,0,1060,0,0,1100
1216,0,0,39,0,0,62,0,1,0,1,1,0
1718,0,1,19,0,0,86,0,0,85,0,1,0
2139,0,1,0,1,1,16,0,1,8,0,1,41
1424,0,1,34,0,1,57,0,0,133,0,0,157
2717,0,1,78,0,1,80,1,1,0,1,1,33
1663,0,0,15,0,1,55,0,0,134,0,0,137
1462,1,1,36,0,1,0,1,1,0,0,1,21
2357,1,1,0,1,1,43,1,1,50,1,1,0
1718,1,1,0,1,1,0,1,1,0,1,1,0
1802,0,1,0,1,1,62,1,1,1,0,1,0
2075,0,1,12,0,1,25,0,1,67,0,1,7
2098,1,1,0,1,1,215,0,1,8,0,1,51
1632,0,1,0,1,1,22,0,1,91,0,1,0
1277,0,0,106,0,0,88,0,0,9,1,1,13
990,0,1,16,0,1,28,0,1,40,0,0,45
1563,0,0,25,0,0,22,0,1,35,0,0,34
1787,0,0,2937,0,0,346,0,0,312,0,1,2
1877,0,0,2206,0,0,2039,0,0,1975,0,0,1981
1583,1,1,0,1,1,65,0,0,181,0,0,174
1994,0,0,20,0,0,2,0,1,35,0,0,50
1727,0,1,0,0,1,21,0,1,58,0,1,19
1795,0,1,9,0,1,37,1,1,0,1,1,0
2198,0,0,315,0,0,315,0,0,965,0,1,945
1911,0,1,40,0,1,36,1,1,33,1,1,0
2067,1,1,11,0,1,0,0,1,21,0,1,29
1392,0,0,10,0,0,54,0,0,7,1,1,51
1351,0,0,3,0,1,19,0,1,30,0,0,24
2404,0,1,0,1,1,25,1,1,0,1,1,0
1544,0,1,0,1,1,62,1,1,92,1,1,30
1327,0,0,46,0,0,62,0,1,21,0,0,24
1654,0,1,0,1,1,0,0,1,0,0,1,51
2146,1,1,0,1,1,97,1,1,0,1,1,14
1500,0,0,29,0,0,44,0,0,110,0,0,178
2144,0,1,49,0,0,54,0,1,5,0,1,0
2176,0,0,18,0,1,55,0,0,14,0,0,82
848,0,0,0,1,1,69,0,1,31,1,1,0
1807,1,1,0,1,1,0,1,1,0,1,1,11
1840,1,1,0,1,1,0,0,1,6,0,1,19
811,0,0,97,0,0,97,0,0,99,0,0,53
1463,1,1,0,1,1,0,1,1,0,1,1,0
1688,0,0,60,0,0,56,0,0,20,0,1,12
1638,1,1,0,0,1,22,1,1,0,1,1,0
1104,0,1,50,0,0,14,0,0,433,0,0,1579
887,0,0,225,0,0,2401,0,0,2380,0,0,2189
1893,1,1,91,1,1,75,0,1,0,1,1,0
700,0,0,117,0,0,382,0,1,107,0,0,25
1792,0,1,130,0,0,261,0,0,294,0,0,305
2381,0,0,25,0,1,140,0,1,0,0,0,0
1775,1,1,0,1,1,20,1,1,0,1,1,15
1890,0,0,183,0,1,232,0,0,99,0,0,102
2002,0,1,70,0,1,0,1,1,0,0,1,0
1762,0,0,179,0,0,217,0,0,244,0,0,274
1801,0,1,124,0,1,114,0,1,62,0,1,123
2288,1,1,47,1,1,45,1,1,36,1,1,103
1941,0,1,45,0,1,85,0,1,87,1,1,34
1588,0,0,0,0,1,4,0,0,38,0,0,114
2084,1,1,0,1,1,0,1,1,0,1,1,0
2177,0,0,22,0,1,206,0,0,259,0,0,235
1318,1,1,0,0,1,31,0,1,0,1,1,0
2283,1,1,119,1,1,0,1,1,0,1,1,13
1704,0,1,8,1,1,0,1,1,4,1,1,0
1070,0,0,15,0,0,118,0,0,66,0,0,74
1467,0,1,69,0,1,119,0,1,60,0,0,42
2133,1,1,2,1,1,12,1,1,0,1,1,0
1230,0,0,185,0,0,101,1,1,15,0,1,520
2021,1,1,0,1,1,0,0,1,16,0,1,0
1005,0,0,298,0,0,407,0,0,110,0,0,15
966,0,0,13,0,1,37,0,1,7,0,0,38
1622,1,1,0,0,1,31,0,1,25,0,1,13
1260,0,0,27,0,1,107,0,0,90,0,0,41
1057,0,0,43,0,0,89,0,0,81,0,0,90
1767,0,0,0,1,1,24,0,0,7,1,1,0
927,0,0,428,0,0,590,0,0,585,0,0,585
1985,0,0,52,0,1,97,0,0,58,0,0,55
1977,0,0,241,0,0,535,0,0,453,0,0,462
1602,1,1,0,1,1,22,1,1,51,0,1,25
1596,0,1,0,1,1,15,1,1,5,1,1,0
871,1,1,12,0,1,6,0,1,8,1,1,0
1270,0,0,46,0,0,61,0,1,41,0,1,75
2071,0,1,36,0,1,57,0,1,72,0,1,33
1686,0,0,109,0,0,165,0,0,184,0,0,247
1847,0,0,25,0,0,22,0,1,6,0,1,0
2140,0,1,14,1,1,71,0,0,10,0,0,13
1838,0,0,12,0,1,0,0,0,1,0,0,0
1415,0,1,16,0,1,60,0,1,133,0,0,168
864,0,0,59,0,0,85,0,0,53,0,0,32
1356,1,1,0,1,1,58,1,1,5,1,1,11
2419,0,0,47,0,0,119,0,0,53,0,1,13
1945,1,1,0,0,1,4,1,1,0,0,1,1
2028,1,1,0,1,1,0,1,1,9,1,1,0
2241,0,0,12,0,1,271,0,0,112,0,0,63
1922,0,1,0,1,1,53,1,1,0,0,1,8
1228,0,1,117,0,1,69,0,1,118,0,1,160
1589,1,1,0,1,1,0,1,1,4,1,1,0
1939,1,1,2244,1,1,0,1,1,0,1,1,0
2082,0,0,37,0,0,72,0,0,31,1,1,0
1157,1,1,92,0,0,218,0,0,73,0,0,75
1041,1,1,41,0,0,32,0,0,0,0,0,0
1681,0,1,9,0,1,30,0,1,36,0,1,4
2001,1,1,0,1,1,147,0,0,25,0,1,0
1561,0,1,24,0,1,104,0,0,124,0,0,100
1520,0,0,49,0,0,89,0,0,106,0,0,89
2396,0,1,0,1,1,62,0,1,32,0,0,12
1591,0,0,14,0,1,313,0,0,0,0,0,5
1366,0,0,113,0,0,113,0,0,88,0,0,92
2007,0,1,0,0,1,0,0,1,48,0,0,30
1701,0,0,92,0,0,118,0,0,133,0,0,156
1225,0,1,0,1,1,63,0,0,72,0,1,142
1958,1,1,0,1,1,44,1,1,0,1,1,5
1365,0,1,86,0,1,66,1,1,0,1,1,0
1849,0,1,0,0,1,214,1,1,34,0,1,120
1796,0,0,44,0,0,86,0,0,124,0,0,149
1673,0,1,139,0,1,68,0,1,0,1,1,3
2609,1,1,42,1,1,0,1,1,23,1,1,9
1712,0,0,28,0,0,67,0,0,27,0,0,50
1526,0,1,35,0,1,0,1,1,24,1,1,0
2166,0,1,0,1,1,0,0,1,14,0,0,41
1412,0,0,159,0,0,83,0,0,75,0,1,67
1789,0,0,0,1,1,15,0,1,42,0,0,35
897,1,1,54,0,0,18,0,0,18,1,1,0
1643,0,1,277,0,0,94,1,1,23,0,0,257
1084,0,0,43,0,1,60,0,0,82,0,0,112
1038,1,1,0,1,1,0,1,1,0,1,1,0
2253,0,0,141,0,0,97,0,0,41,1,1,116
2448,1,1,66,0,1,477,0,0,82,0,0,80
1900,0,1,18,0,1,39,0,0,35,0,0,3
2265,1,1,0,0,1,0,1,1,68,1,1,18
1199,0,0,177,0,0,170,0,0,138,0,0,195
1834,0,0,71,0,0,63,0,0,94,0,0,111
848,1,1,3,0,1,58,0,1,40,0,0,81
1031,0,1,97,1,1,27,0,1,144,0,0,75
2092,0,1,16,0,1,13,1,1,0,1,1,32
1901,0,0,34,0,1,71,0,0,63,0,0,42
1774,0,0,12,0,0,9,0,0,26,0,1,12
1420,0,0,100,0,0,203,0,0,204,0,0,187
1338,0,0,90,0,1,38,1,1,30,1,1,0
2204,0,0,0,1,1,3,1,1,0,0,0,0
1757,1,1,0,1,1,0,1,1,33,0,1,12
1557,0,0,26,0,0,56,0,0,96,0,0,127
1977,1,1,8,1,1,19,1,1,20,1,1,0
2297,1,1,7,1,1,26,1,1,6,0,0,0
1077,1,1,0,1,1,14,1,1,0,1,1,0
1500,0,1,0,1,1,0,1,1,27,1,1,0
2334,1,1,0,0,1,18,1,1,1843,0,1,0
2244,0,1,43,0,1,115,0,1,104,0,1,71
2666,0,1,143,0,1,168,0,0,177,0,0,179
1973,1,1,0,1,1,0,0,1,4,0,0,34
1403,1,1,0,1,1,0,0,1,0,0,1,0
2013,1,1,30,1,1,0,1,1,32,1,1,14
1956,0,1,47,0,1,0,0,1,170,0,0,262
2367,0,0,43,0,1,113,0,0,46,0,0,61
2150,1,1,0,1,1,68,0,1,238,1,1,0
883,1,1,0,1,1,0,0,1,7,1,1,6
1781,1,1,0,1,1,0,1,1,0,1,1,48
1621,0,0,113,0,0,25,0,1,211,0,0,229
2233,0,0,0,1,1,19,1,1,0,1,1,0
1837,0,0,2021,0,0,1918,0,0,1864,0,0,1769
2441,0,1,33,0,0,16,0,1,4,1,1,4
1729,1,1,0,1,1,0,0,1,0,1,1,13
2051,0,1,0,0,1,0,1,1,0,0,1,1
1290,0,0,169,0,0,456,0,0,535,0,0,239
2004,0,0,0,1,1,49,0,0,50,0,0,14
2004,0,0,7,0,1,4,0,0,9,0,0,4
2678,0,1,6,0,1,0,1,1,0,1,1,0
1098,1,1,389,0,0,273,0,0,401,0,0,334
1360,1,1,46,0,0,56,0,1,40,0,0,107
1558,0,0,179,0,0,161,0,0,154,0,0,240
1065,0,0,0,1,1,21,0,0,96,0,0,77
1272,0,0,187,0,0,221,0,0,112,0,0,134
2332,0,1,383,0,1,519,0,0,422,0,1,390
1992,0,0,81,0,0,154,0,0,82,0,1,83
1459,1,1,0,1,1,0,1,1,0,0,1,0
1449,0,0,0,1,1,0,1,1,54,0,1,20
1990,0,0,0,1,1,1,0,0,0,0,1,10
1704,0,0,212,0,0,0,0,0,12,0,1,45
1722,0,1,14,0,1,0,1,1,42,0,1,72
1944,0,0,0,1,1,27,0,1,53,1,1,51
2766,1,1,67,0,0,67,0,0,172,0,0,220
1874,0,0,72,0,1,127,0,1,28,0,0,38
1682,1,1,27,1,1,215,1,1,66,0,0,158
1973,0,1,34,0,1,41,0,0,58,0,0,32
1207,0,0,17,0,0,27,0,0,79,0,0,73
1448,0,1,0,1,1,72,1,1,4,1,1,15
1546,0,1,28,0,0,67,0,0,0,1,1,0
2426,0,0,143,0,0,62,0,0,115,0,0,99
2252,0,0,0,1,1,66,0,1,9,1,1,26
1835,0,0,11,0,0,116,1,1,54,0,1,70
1364,1,1,32,0,0,26,1,1,0,0,0,14
1320,0,0,53,0,0,50,0,0,45,0,1,27
1494,0,0,31,0,0,98,0,0,16,0,0,60
2272,0,1,12,0,1,27,0,0,63,0,0,31
1621,0,1,15,0,1,8,0,1,0,0,1,4
1494,0,1,138,0,1,266,1,1,10,1,1,3
1809,0,0,0,1,1,21,0,1,19,0,0,81
1799,0,1,34,0,1,47,1,1,94,0,0,99
1313,0,1,0,1,1,0,1,1,7,1,1,19
2116,0,1,0,1,1,20,0,0,41,0,0,87
2245,0,1,58,1,1,33,0,1,21,0,1,0
1763,0,1,0,1,1,43,0,1,36,0,0,66
1900,0,0,121,0,0,116,0,0,153,0,0,154
1325,0,0,180,0,0,167,0,0,470,0,0,532
1555,1,1,0,1,1,0,0,1,0,0,1,29
1832,0,0,65,0,0,39,0,0,70,0,0,81
885,0,0,49,0,0,0,0,0,10,0,0,0
1799,0,0,0,0,1,184,0,0,88,0,0,107
1212,1,1,0,1,1,30,1,1,0,1,1,0
1770,0,0,80,0,1,186,0,1,15,0,0,30
2040,0,1,11,0,1,2,1,1,136,0,0,121
1854,0,0,7,0,1,294,1,1,11,0,1,43
868,0,0,300,0,0,300,0,0,690,0,0,670
2044,0,0,2,0,1,15,0,1,24,1,1,0
1662,0,0,0,1,1,47,0,0,96,0,0,36
1617,0,0,58,0,1,122,0,0,123,0,0,62
1525,0,0,47,0,0,130,0,0,32,0,0,66
2085,0,0,71,0,0,25,1,1,0,0,1,9
2308,1,1,25,1,1,14,1,1,37,1,1,0
2145,0,0,14,0,1,171,1,1,124,0,1,139
2689,0,0,424,0,0,412,0,1,0,0,1,0
851,0,1,16,0,1,23,0,0,61,0,0,75
2004,0,0,251,0,0,306,0,0,425,0,0,484
1983,0,0,54,0,1,23,0,0,20,0,0,0
1654,0,0,100,0,0,37,0,0,228,0,0,215
1350,0,0,17,0,1,124,0,0,82,0,1,0
1195,0,0,30,0,1,45,0,0,28,0,0,95
1308,0,0,12,0,1,29,0,1,0,0,0,0
1314,0,0,48,0,0,0,0,0,133,0,0,109
1776,0,1,0,1,1,2013,1,1,0,1,1,0
1721,0,0,68,0,0,105,0,0,200,0,0,225
2109,0,0,6,0,1,49,1,1,9,0,1,8
1968,0,1,5,0,1,15,0,0,26,0,1,36
1645,0,0,101,0,1,42,0,0,95,0,0,63
2043,0,0,123,0,0,633,0,0,612,0,0,622
1217,0,0,151,0,0,214,0,1,86,0,1,80
2184,1,1,0,1,1,0,1,1,0,1,1,16
1510,1,1,0,1,1,0,1,1,11,1,1,0
1541,0,0,251,0,0,451,0,0,390,0,0,426
1483,0,0,3,0,1,17,0,0,33,0,0,33
2338,1,1,0,1,1,33,0,0,31,0,1,24
1195,0,0,34,0,1,23,0,1,177,0,1,269
2395,1,1,27,1,1,0,0,1,7,0,1,39
806,0,0,96,0,0,175,0,0,146,0,0,252
1626,0,0,24,0,1,0,0,1,0,0,1,0
2074,1,1,33,1,1,40,0,1,24,1,1,39
1654,0,1,1,0,1,31,1,1,19,0,0,0
1581,0,1,6,0,1,21,1,1,89,0,0,102
1740,1,1,0,1,1,29,0,1,5,1,1,0
1282,0,1,0,0,1,104,1,1,26,1,1,0
2235,1,1,350,0,0,193,0,1,154,0,0,12
1513,1,1,76,0,1,45,0,0,8,0,0,36
951,0,0,26,0,1,55,0,0,47,0,0,54
2245,0,0,114,0,0,7,0,0,76,1,1,26
939,0,0,594,0,0,700,0,0,1197,0,0,1552
1067,1,1,0,1,1,0,1,1,0,1,1,0
2328,1,1,14,1,1,21,0,1,62,1,1,5
2142,0,0,0,1,1,15,0,1,22,0,1,0
1966,0,1,26,0,1,144,0,0,99,0,0,48
1859,0,0,1688,0,0,1688,0,0,4,0,0,3
1575,0,0,173,0,0,1,0,1,78,0,0,50
1493,0,1,44,0,1,43,1,1,37,1,1,0
1740,0,1,14,0,1,0,1,1,28,1,1,0
1322,0,1,0,0,1,3,1,1,31,0,1,27
1895,0,1,8,0,1,93,0,0,197,0,0,131
1819,0,0,58,0,0,178,0,0,213,0,0,182
1908,0,0,34,0,0,59,0,0,103,0,0,43
1531,0,1,2,1,1,0,0,0,170,0,1,320
1983,0,0,272,0,0,149,1,1,132,0,0,65
1624,0,0,37,0,1,43,0,0,47,0,0,12
1491,0,1,20,0,1,32,1,1,0,1,1,24
1705,0,0,120,0,0,0,1,1,0,1,1,88
2050,0,0,66,0,0,84,0,0,57,0,0,32
1086,0,0,33,0,1,62,0,0,48,0,0,43
1705,0,0,17,0,0,5,0,0,51,0,0,36
777,0,0,65,0,1,71,0,1,73,0,1,74
1426,0,0,93,0,0,210,0,0,141,0,0,110
1711,0,0,44,0,1,0,0,0,0,1,1,10
1176,0,1,129,0,0,203,0,0,280,0,0,280
1726,0,1,37,0,1,67,0,0,7,0,1,0
1383,1,1,0,1,1,0,1,1,0,1,1,0
1900,1,1,9,1,1,171,0,0,3,1,1,11
1914,0,0,92,0,0,93,0,0,145,0,0,110
1516,0,1,1,0,1,3,0,0,23,0,1,4
2052,1,1,25,0,1,55,0,0,53,1,1,3
932,0,0,75,0,1,0,0,1,9,0,1,0
1531,0,0,67,0,0,686,0,0,8,0,0,25
1871,0,1,1,0,1,0,0,1,7,0,0,7
1786,0,1,0,1,1,13,1,1,0,1,1,0
1011,0,0,140,0,1,140,0,0,0,0,0,23
2129,1,1,0,1,1,0,1,1,15,1,1,0
1166,0,0,189,0,0,276,0,0,112,0,0,32
1357,0,0,82,0,0,186,0,0,365,0,0,429
1739,0,0,0,1,1,116,1,1,93,1,1,23
2389,0,1,12,0,1,7,0,0,45,0,1,98
1500,0,1,80,0,0,0,0,1,3,0,0,22
1487,0,0,23,0,0,0,0,0,50,0,0,77
1424,0,1,99,0,0,92,0,0,39,0,0,64
1500,1,1,100,0,1,67,0,0,49,0,1,42
1449,1,1,0,1,1,321,0,1,208,0,0,224
2090,0,1,42,0,0,318,0,0,354,0,0,411
738,0,0,97,0,0,150,0,1,140,0,0,78
2246,0,1,52,0,1,130,0,0,55,0,0,9
1670,0,0,48,0,1,48,0,1,72,0,1,71
1510,0,0,23,0,0,68,0,0,81,0,0,38
1950,1,1,0,1,1,30,1,1,46,1,1,0
1218,0,0,11,0,1,7,1,1,0,0,1,23
1925,0,0,0,1,1,67,0,0,63,0,0,92
2033,1,1,0,1,1,0,0,1,3,0,1,110
1628,0,0,0,1,1,0,1,1,0,1,1,0
1500,0,1,23,0,1,97,0,0,69,0,0,62
1200,0,0,0,1,1,68,1,1,0,1,1,0
1762,0,0,66,0,0,37,1,1,43,0,1,96
1005,0,1,167,0,1,46,0,1,241,0,1,274
1924,0,0,1,0,1,40,0,0,123,0,0,73
1738,0,1,14,0,0,78,0,0,40,1,1,0
2018,0,1,0,0,1,0,0,1,0,0,1,0
2071,0,0,83,0,1,72,1,1,88,1,1,0
1902,1,1,0,1,1,48,1,1,5,1,1,30
1092,0,0,67,0,0,91,0,0,105,0,0,104
1760,1,1,0,1,1,38,0,1,12,0,1,4
1579,0,1,0,0,1,10,0,1,38,1,1,0
1522,0,0,0,1,1,1,0,0,3,0,1,20
1394,1,1,35,0,1,12,0,0,17,0,0,42
1893,0,0,4,1,1,33,0,0,0,0,0,23
1536,0,1,16,0,1,43,0,1,71,0,0,64
1947,0,1,97,0,0,130,0,1,98,0,0,64
1635,0,0,0,1,1,72,0,0,0,1,1,15
1580,1,1,0,1,1,54,0,1,59,0,1,9
1286,0,0,559,0,0,391,0,0,239,0,0,403
1170,0,0,37,0,0,138,0,0,116,0,0,77
1147,0,1,115,0,0,74,0,0,26,0,0,19
1202,0,1,18,0,1,4,0,1,1,1,1,0
1084,0,1,7,0,1,62,0,1,39,1,1,9
2242,1,1,0,1,1,87,1,1,21,1,1,12
1955,0,0,106,0,0,29,0,0,29,0,0,59
1671,0,0,196,0,0,204,1,1,41,1,1,33
1395,0,1,38,0,1,35,0,1,44,0,0,34
2104,0,1,5,0,1,27,0,1,18,0,1,15
1797,0,1,167,0,0,63,0,1,161,0,1,114
1731,0,0,104,0,0,122,0,0,231,0,0,188
1594,0,0,814,0,0,179,0,0,286,0,0,263
1719,0,1,69,0,0,71,0,1,16,0,1,19
1546,0,1,0,0,1,49,0,0,53,0,1,21
1600,0,1,10,0,1,70,0,0,11,0,0,14
1299,1,1,0,1,1,0,1,1,0,1,1,0
1229,1,1,0,1,1,127,1,1,0,1,1,32
2096,1,1,69,0,1,0,0,1,6,0,1,5
2072,0,0,7,0,0,3,0,0,2,0,0,0
1253,0,0,108,0,0,108,0,0,104,0,0,120
1986,0,0,13,0,1,10,0,0,38,0,0,11
1951,0,0,95,0,0,133,0,0,66,0,0,66
2007,0,0,5,0,0,41,0,1,9,0,0,0
976,0,0,0,1,1,54,1,1,0,0,1,15
1267,0,0,82,0,0,18,0,0,35,0,0,87
1652,0,1,1,0,1,0,0,1,0,0,1,0
1278,0,0,438,0,0,585,0,0,534,0,0,473
1403,1,1,0,1,1,0,1,1,0,1,1,41
2147,0,1,33,0,1,90,0,1,11,0,0,107
1812,0,0,0,1,1,194,0,0,110,0,0,104
1212,0,0,107,0,0,222,0,0,396,0,0,412
1615,0,1,18,0,1,41,0,1,84,0,1,30
1243,0,0,1615,0,0,1615,0,0,1547,0,0,1661
1791,1,1,0,1,1,152,0,1,28,0,1,25
1326,0,0,74,0,1,74,1,1,13,0,1,0
1661,0,1,0,0,1,81,0,1,75,0,1,35
